store_name,product_name,avg_daily_sales,total_sales_volume,days_sold,sales_rank,rankings_class
FreshMart Downtown,Apples,3.230769231,42,13,0.7577639752,Medium-moving
FreshMart Downtown,Orange Juice,3.230769231,42,13,0.7577639752,Medium-moving
FreshMart Downtown,Chicken Breast,3.230769231,42,13,0.7701863354,Medium-moving
FreshMart Downtown,Bananas,3.071428571,43,14,0.5714285714,Medium-moving
GreenGrocer Plaza,Yogurt,3.25,26,8,0.7763975155,Medium-moving
GreenGrocer Plaza,Pasta,3.111111111,28,9,0.6211180124,Medium-moving
GreenGrocer Plaza,Cereal,2.833333333,34,12,0.3354037267,Medium-moving
GreenGrocer Plaza,Bread,2.916666667,35,12,0.4285714286,Medium-moving
GreenGrocer Plaza,Milk,2.916666667,35,12,0.4285714286,Medium-moving
GreenGrocer Plaza,Ground Beef,3.153846154,41,13,0.6583850932,Medium-moving
GreenGrocer Plaza,Apples,3,42,14,0.4534161491,Medium-moving
GreenGrocer Plaza,Onions,2.733333333,41,15,0.2670807453,Medium-moving
GreenGrocer Plaza,Chicken Breast,3.133333333,47,15,0.6397515528,Medium-moving
GreenGrocer Plaza,Cheese,3.25,52,16,0.7763975155,Medium-moving
GreenGrocer Plaza,Orange Juice,3.055555556,55,18,0.5590062112,Medium-moving
MegaMart Westside,Carrots,2.888888889,26,9,0.397515528,Medium-moving
MegaMart Westside,Bananas,3.222222222,29,9,0.7391304348,Medium-moving
MegaMart Westside,Pasta,3,30,10,0.4906832298,Medium-moving
MegaMart Westside,Salmon,3.2,32,10,0.701863354,Medium-moving
MegaMart Westside,Cereal,3.166666667,38,12,0.6645962733,Medium-moving
MegaMart Westside,Onions,3,51,17,0.4534161491,Medium-moving
MegaMart Westside,Tomatoes,3.136363636,69,22,0.6459627329,Medium-moving
QuickStop Market,Ground Beef,3,12,4,0.4906832298,Medium-moving
QuickStop Market,Potatoes,3.25,26,8,0.7763975155,Medium-moving
QuickStop Market,Carrots,3.1,31,10,0.6086956522,Medium-moving
QuickStop Market,Chicken Breast,3.2,32,10,0.701863354,Medium-moving
QuickStop Market,Cheese,3.2,32,10,0.701863354,Medium-moving
QuickStop Market,Eggs,3.090909091,34,11,0.5838509317,Medium-moving
QuickStop Market,Bananas,2.857142857,40,14,0.3540372671,Medium-moving
QuickStop Market,Bread,2.857142857,40,14,0.3602484472,Medium-moving
QuickStop Market,Onions,2.857142857,40,14,0.3602484472,Medium-moving
QuickStop Market,Tomatoes,3,51,17,0.4906832298,Medium-moving
QuickStop Market,Rice,3,57,19,0.4534161491,Medium-moving
SuperSave Central,Rice,2.875,23,8,0.3788819876,Medium-moving
SuperSave Central,Ground Beef,3,27,9,0.4906832298,Medium-moving
SuperSave Central,Yogurt,3.222222222,29,9,0.7391304348,Medium-moving
SuperSave Central,Milk,2.7,27,10,0.2360248447,Medium-moving
SuperSave Central,Salmon,3,33,11,0.4906832298,Medium-moving
SuperSave Central,Bananas,3.090909091,34,11,0.5838509317,Medium-moving
SuperSave Central,Cheese,3.090909091,34,11,0.5838509317,Medium-moving
SuperSave Central,Apples,3,36,12,0.4906832298,Medium-moving
SuperSave Central,Pasta,2.8,42,15,0.3043478261,Medium-moving
SuperSave Central,Potatoes,2.8,42,15,0.3105590062,Medium-moving
SuperSave Central,Onions,2.6875,43,16,0.2298136646,Medium-moving
SuperSave Central,Cereal,2.875,46,16,0.3788819876,Medium-moving
SuperSave Central,Eggs,3.166666667,57,18,0.6645962733,Medium-moving
SuperSave Central,Chicken Breast,2.857142857,60,21,0.3602484472,Medium-moving
ValuePlus Market,Pasta,3.125,25,8,0.6335403727,Medium-moving
ValuePlus Market,Potatoes,2.888888889,26,9,0.397515528,Medium-moving
ValuePlus Market,Cereal,3,27,9,0.4906832298,Medium-moving
ValuePlus Market,Rice,2.8,28,10,0.3105590062,Medium-moving
ValuePlus Market,Onions,2.636363636,29,11,0.2111801242,Medium-moving
ValuePlus Market,Carrots,2.909090909,32,11,0.4161490683,Medium-moving
ValuePlus Market,Ground Beef,2.833333333,34,12,0.3354037267,Medium-moving
ValuePlus Market,Milk,2.833333333,34,12,0.3354037267,Medium-moving
ValuePlus Market,Chicken Breast,2.733333333,41,15,0.248447205,Medium-moving
ValuePlus Market,Salmon,3,45,15,0.4906832298,Medium-moving
ValuePlus Market,Eggs,2.823529412,48,17,0.3291925466,Medium-moving
ValuePlus Market,Yogurt,2.944444444,53,18,0.4409937888,Medium-moving
ValuePlus Market,Tomatoes,3,54,18,0.4534161491,Medium-moving
City Fresh Store,Tomatoes,2.375,19,8,0.08695652174,Slow-moving
City Fresh Store,Bananas,2.625,21,8,0.1863354037,Slow-moving
City Fresh Store,Carrots,2.1,21,10,0.01242236025,Slow-moving
City Fresh Store,Chicken Breast,2.285714286,32,14,0.04968944099,Slow-moving
City Fresh Store,Onions,2.571428571,36,14,0.149068323,Slow-moving
City Fresh Store,Ground Beef,2.6,39,15,0.1677018634,Slow-moving
Corner Grocery,Orange Juice,2.363636364,26,11,0.07453416149,Slow-moving
Corner Grocery,Tomatoes,2.375,38,16,0.09937888199,Slow-moving
FamilyFood Express,Ground Beef,2.285714286,16,7,0.04968944099,Slow-moving
FamilyFood Express,Rice,2.5,20,8,0.1180124224,Slow-moving
FamilyFood Express,Pasta,2.625,21,8,0.1863354037,Slow-moving
FamilyFood Express,Tomatoes,2.6,26,10,0.1677018634,Slow-moving
FamilyFood Express,Onions,1.916666667,23,12,0.006211180124,Slow-moving
FamilyFood Express,Chicken Breast,2.25,27,12,0.03726708075,Slow-moving
FreshMart Downtown,Salmon,2.285714286,16,7,0.04968944099,Slow-moving
FreshMart Downtown,Carrots,2.125,17,8,0.01863354037,Slow-moving
FreshMart Downtown,Ground Beef,2.375,19,8,0.08695652174,Slow-moving
FreshMart Downtown,Potatoes,2.230769231,29,13,0.03105590062,Slow-moving
FreshMart Downtown,Milk,2.266666667,34,15,0.04347826087,Slow-moving
FreshMart Downtown,Yogurt,2.625,42,16,0.1863354037,Slow-moving
GreenGrocer Plaza,Tomatoes,2.625,21,8,0.1863354037,Slow-moving
GreenGrocer Plaza,Eggs,2.555555556,23,9,0.1428571429,Slow-moving
GreenGrocer Plaza,Carrots,2.363636364,26,11,0.07453416149,Slow-moving
MegaMart Westside,Milk,1.888888889,17,9,0,Slow-moving
MegaMart Westside,Cheese,2.3,23,10,0.06832298137,Slow-moving
MegaMart Westside,Eggs,2.545454545,28,11,0.1304347826,Slow-moving
MegaMart Westside,Bread,2.1875,35,16,0.0248447205,Slow-moving
QuickStop Market,Orange Juice,2.6,26,10,0.1677018634,Slow-moving
QuickStop Market,Milk,2.454545455,27,11,0.1055900621,Slow-moving
QuickStop Market,Salmon,2.583333333,31,12,0.1552795031,Slow-moving
SuperSave Central,Orange Juice,2.5,20,8,0.1180124224,Slow-moving
ValuePlus Market,Cheese,2.454545455,27,11,0.1055900621,Slow-moving
ValuePlus Market,Apples,2.545454545,28,11,0.1304347826,Slow-moving
ValuePlus Market,Bananas,2.583333333,31,12,0.1552795031,Slow-moving
